SORA Publication Date,Compound SORA - 3 month
1.Feb.08,1.2604
4.Feb.08,1.2404
5.Feb.08,1.2325
6.Feb.08,1.227
11.Feb.08,1.2419
12.Feb.08,1.237
13.Feb.08,1.2295
14.Feb.08,1.2208
15.Feb.08,1.213
18.Feb.08,1.1944
19.Feb.08,1.1897
20.Feb.08,1.1855
21.Feb.08,1.1819
22.Feb.08,1.1782
25.Feb.08,1.157
26.Feb.08,1.1489
27.Feb.08,1.1425
28.Feb.08,1.1358
29.Feb.08,1.1335
3.Mar.08,1.1332
4.Mar.08,1.1356
5.Mar.08,1.1391
6.Mar.08,1.1453
7.Mar.08,1.1459
10.Mar.08,1.1318
11.Mar.08,1.1264
12.Mar.08,1.1198
13.Mar.08,1.1124
14.Mar.08,1.1026
17.Mar.08,1.0664
18.Mar.08,1.0577
19.Mar.08,1.0558
20.Mar.08,1.0598
24.Mar.08,1.0743
25.Mar.08,1.0792
26.Mar.08,1.0834
27.Mar.08,1.0838
28.Mar.08,1.0838
31.Mar.08,1.0867
1.Apr.08,1.0839
2.Apr.08,1.0799
3.Apr.08,1.077
4.Apr.08,1.0749
7.Apr.08,1.0751
8.Apr.08,1.0744
9.Apr.08,1.0726
10.Apr.08,1.0669
11.Apr.08,1.0622
14.Apr.08,1.0418
15.Apr.08,1.0336
16.Apr.08,1.0245
17.Apr.08,1.0152
18.Apr.08,1.0035
21.Apr.08,0.9612
22.Apr.08,0.9472
23.Apr.08,0.9322
24.Apr.08,0.9193
25.Apr.08,0.9101
28.Apr.08,0.8896
29.Apr.08,0.8854
30.Apr.08,0.8773
2.May.08,0.8531
5.May.08,0.8257
6.May.08,0.8155
7.May.08,0.8042
8.May.08,0.7919
9.May.08,0.7816
12.May.08,0.7584
13.May.08,0.7526
14.May.08,0.7489
15.May.08,0.7461
16.May.08,0.7401
20.May.08,0.7115
21.May.08,0.7026
22.May.08,0.6928
23.May.08,0.6863
26.May.08,0.6737
27.May.08,0.669
28.May.08,0.6652
29.May.08,0.6594
30.May.08,0.658
2.Jun.08,0.6457
3.Jun.08,0.6381
4.Jun.08,0.6293
5.Jun.08,0.62
6.Jun.08,0.6122
9.Jun.08,0.6014
10.Jun.08,0.5991
11.Jun.08,0.5986
12.Jun.08,0.5982
13.Jun.08,0.5975
16.Jun.08,0.5912
17.Jun.08,0.588
18.Jun.08,0.5803
19.Jun.08,0.5724
20.Jun.08,0.566
23.Jun.08,0.5449
24.Jun.08,0.5378
25.Jun.08,0.5285
26.Jun.08,0.5202
27.Jun.08,0.5153
30.Jun.08,0.513
1.Jul.08,0.5125
2.Jul.08,0.5089
3.Jul.08,0.5049
4.Jul.08,0.5022
